word,index
PAD,0
SOS,1
EOS,2
there,3
.,4
where,5
?,6
you,7
have,8
my,9
word,10
as,11
a,12
gentleman,13
re,14
sweet,15
hi,16
looks,17
like,18
things,19
worked,20
out,21
tonight,22
huh,23
know,24
i,25
believe,26
we,27
share,28
an,29
art,30
fun,31
tons,32
well,33
no,34
then,35
that,36
s,37
all,38
had,39
to,40
say,41
but,42
always,43
been,44
this,45
do,46
listen,47
crap,48
what,49
good,50
stuff,51
the,52
real,53
fear,54
of,55
wearing,56
wow,57
let,58
go,59
she,60
okay,61
hope,62
so,63
they,64
!,65
not,66
did,67
change,68
your,69
hair,70
might,71
wanna,72
think,73
about,74
it,75
who,76
joey,77
great,78
would,79
mind,80
getting,81
me,82
drink,83
cameron,84
more,85
expensive,86
hey,87
ve,88
nowhere,89
daddy,90
are,91
completely,92
can,93
now,94
in,95
th,96
for,97
month,98
why,99
he,100
was,101
total,102
babe,103
hate,104
looked,105
beautiful,106
last,107
night,108
set,109
up,110
just,111
wanted,112
patrick,113
is,114
doesn,115
t,116
want,117
date,118
exactly,119
point,120
and,121
going,122
oh,123
god,124
starting,125
party,126
wear,127
before,128
minute,129
because,130
ll,131
scare,132
them,133
away,134
prom,135
kat,136
has,137
new,138
guy,139
tell,140
which,141
dakota,142
from,143
north,144
actually,145
how,146
d,147
kidding,148
people,149
live,150
many,151
were,152
old,153
school,154
thirty,155
two,156
get,157
here,158
couple,159
thousand,160
most,161
evil,162
girl,163
burn,164
yeah,165
minor,166
with,167
her,168
bianca,169
sister,170
herself,171
him,172
makes,173
seems,174
on,175
danger,176
number,177
one,178
hates,179
lung,180
cancer,181
issue,182
favorite,183
uncle,184
dead,185
at,186
forty,187
pretty,188
wasn,189
sure,190
ears,191
band,192
playing,193
tomorrow,194
don,195
make,196
man,197
m,198
little,199
busy,200
off,201
whole,202
thing,203
talking,204
makin,205
any,206
kissed,207
worst,208
ya,209
goin,210
leave,211
alone,212
said,213
need,214
money,215
take,216
when,217
shell,218
fifty,219
expect,220
price,221
hundred,222
bucks,223
forget,224
time,225
deal,226
act,227
human,228
lost,229
nope,230
came,231
by,232
chat,233
hear,234
uh,235
friend,236
look,237
block,238
e,239
slit,240
william,241
didn,242
even,243
high,244
never,245
proven,246
neither,247
his,248
work,249
cares,250
favor,251
seen,252
asked,253
meet,254
mean,255
doin,256
pig,257
yourself,258
pick,259
friday,260
right,261
covered,262
seven,263
excuse,264
isn,265
funny,266
only,267
fine,268
lie,269
down,270
awhile,271
doing,272
told,273
care,274
if,275
die,276
thought,277
above,278
wake,279
jail,280
maybe,281
weren,282
ask,283
should,284
start,285
father,286
wouldn,287
approve,288
gettin,289
heard,290
poetry,291
reading,292
pleasant,293
effect,294
other,295
than,296
nothing,297
c,298
mon,299
bad,300
try,301
lookin,302
angle,303
put,304
foot,305
stayin,306
soft,307
side,308
knew,309
acting,310
way,311
yes,312
something,313
screwed,314
disappointed,315
state,316
duck,317
true,318
else,319
knows,320
request,321
or,322
command,323
won,324
grandmother,325
insurance,326
does,327
cover,328
pms,329
punishing,330
agree,331
making,332
decisions,333
matter,334
parts,335
tired,336
breathing,337
cool,338
pictures,339
fan,340
guess,341
too,342
enough,343
ever,344
club,345
skunk,346
still,347
pissed,348
love,349
thy,350
force,351
see,352
next,353
week,354
anyone,355
cry,356
today,357
helping,358
